"","profileID","respID","qID","altID","obsID","categoryRing","categoryBracelet","categoryCard","price","compatibilityAndroid","compatibilityBoth","capacity","range","choice"
"1",229,1,1,1,1,0,0,0,25,1,0,1,5,0
"2",117,1,1,2,1,0,0,0,100,0,0,1,3,1
"3",322,1,1,3,1,1,0,0,100,0,1,5,5,0
"4",80,1,2,1,2,0,0,1,50,0,0,5,1,1
"5",33,1,2,2,2,0,0,0,100,0,1,1,1,0
"6",255,1,2,3,2,0,1,0,25,0,0,3,5,0
"7",27,1,3,1,3,0,1,0,25,0,1,1,1,0
"8",13,1,3,2,3,0,0,0,25,1,0,1,1,0
"9",290,1,3,3,3,1,0,0,25,0,0,5,5,1
"10",100,1,4,1,4,0,0,1,25,0,1,5,1,1
"11",194,1,4,2,4,1,0,0,25,1,0,5,3,0
"12",297,1,4,3,4,0,0,0,100,0,0,5,5,0
"13",208,1,5,1,5,0,0,1,25,0,1,5,3,1
"14",135,1,5,2,5,0,1,0,25,0,1,1,3,0
"15",97,1,5,3,5,0,0,0,25,0,1,5,1,0
"16",213,1,6,1,6,0,0,0,100,0,1,5,3,0
"17",130,1,6,2,6,1,0,0,100,1,0,1,3,0
"18",242,1,6,3,6,1,0,0,25,0,1,1,5,1
"19",164,2,1,1,7,0,0,1,50,1,0,3,3,1
"20",184,2,1,2,7,0,0,1,25,0,0,5,3,0
"21",209,2,1,3,7,0,0,0,50,0,1,5,3,0
"22",185,2,2,1,8,0,0,0,50,0,0,5,3,0
"23",46,2,2,2,8,1,0,0,100,0,0,3,1,1
"24",34,2,2,3,8,1,0,0,100,0,1,1,1,0
"25",33,2,3,1,9,0,0,0,100,0,1,1,1,1
"26",214,2,3,2,9,1,0,0,100,0,1,5,3,0
"27",135,2,3,3,9,0,1,0,25,0,1,1,3,0
"28",316,2,4,1,10,0,0,1,25,0,1,5,5,1
"29",310,2,4,2,10,1,0,0,100,1,0,5,5,0
"30",258,2,4,3,10,1,0,0,50,0,0,3,5,0
"31",246,2,5,1,11,1,0,0,50,0,1,1,5,1
"32",1,2,5,2,11,0,0,0,25,0,0,1,1,0
"33",203,2,5,3,11,0,1,0,100,1,0,5,3,0
"34",202,2,6,1,12,1,0,0,100,1,0,5,3,1
"35",290,2,6,2,12,1,0,0,25,0,0,5,5,0
"36",263,2,6,3,12,0,1,0,100,0,0,3,5,0
"37",73,3,1,1,13,0,0,0,25,0,0,5,1,0
"38",185,3,1,2,13,0,0,0,50,0,0,5,3,0
"39",258,3,1,3,13,1,0,0,50,0,0,3,5,1
"40",17,3,2,1,14,0,0,0,50,1,0,1,1,1
"41",301,3,2,2,14,0,0,0,25,1,0,5,5,0
"42",55,3,2,3,14,0,1,0,50,1,0,3,1,0
"43",313,3,3,1,15,0,0,0,25,0,1,5,5,1
"44",64,3,3,2,15,0,0,1,25,0,1,3,1,0
"45",293,3,3,3,15,0,0,0,50,0,0,5,5,0
"46",271,3,4,1,16,0,1,0,50,1,0,3,5,1
"47",181,3,4,2,16,0,0,0,25,0,0,5,3,0
"48",178,3,4,3,16,1,0,0,100,0,1,3,3,0
"49",191,3,5,1,17,0,1,0,100,0,0,5,3,0
"50",201,3,5,2,17,0,0,0,100,1,0,5,3,0
"51",93,3,5,3,17,0,0,0,100,1,0,5,1,1
"52",290,3,6,1,18,1,0,0,25,0,0,5,5,0
"53",149,3,6,2,18,0,0,0,50,0,0,3,3,0
"54",272,3,6,3,18,0,0,1,50,1,0,3,5,1
"55",88,4,1,1,19,0,0,1,25,1,0,5,1,1
"56",246,4,1,2,19,1,0,0,50,0,1,1,5,0
"57",323,4,1,3,19,0,1,0,100,0,1,5,5,0
"58",299,4,2,1,20,0,1,0,100,0,0,5,5,1
"59",103,4,2,2,20,0,1,0,50,0,1,5,1,0
"60",266,4,2,3,20,1,0,0,25,1,0,3,5,0
"61",130,4,3,1,21,1,0,0,100,1,0,1,3,0
"62",33,4,3,2,21,0,0,0,100,0,1,1,1,0
"63",89,4,3,3,21,0,0,0,50,1,0,5,1,1
"64",24,4,4,1,22,0,0,1,100,1,0,1,1,1
"65",80,4,4,2,22,0,0,1,50,0,0,5,1,0
"66",175,4,4,3,22,0,1,0,50,0,1,3,3,0
"67",322,4,5,1,23,1,0,0,100,0,1,5,5,0
"68",144,4,5,2,23,0,0,1,100,0,1,1,3,1
"69",93,4,5,3,23,0,0,0,100,1,0,5,1,0
"70",74,4,6,1,24,1,0,0,25,0,0,5,1,0
"71",171,4,6,2,24,0,1,0,25,0,1,3,3,1
"72",52,4,6,3,24,0,0,1,25,1,0,3,1,0
"73",140,5,1,1,25,0,0,1,50,0,1,1,3,1
"74",77,5,1,2,25,0,0,0,50,0,0,5,1,0
"75",48,5,1,3,25,0,0,1,100,0,0,3,1,0
"76",6,5,2,1,26,1,0,0,50,0,0,1,1,0
"77",57,5,2,2,26,0,0,0,100,1,0,3,1,0
"78",252,5,2,3,26,0,0,1,100,0,1,1,5,1
"79",277,5,3,1,27,0,0,0,25,0,1,3,5,0
"80",212,5,3,2,27,0,0,1,50,0,1,5,3,0
"81",1,5,3,3,27,0,0,0,25,0,0,1,1,1
"82",108,5,4,1,28,0,0,1,100,0,1,5,1,0
"83",181,5,4,2,28,0,0,0,25,0,0,5,3,1
"84",189,5,4,3,28,0,0,0,100,0,0,5,3,0
"85",52,5,5,1,29,0,0,1,25,1,0,3,1,0
"86",158,5,5,2,29,1,0,0,25,1,0,3,3,0
"87",137,5,5,3,29,0,0,0,50,0,1,1,3,1
"88",67,5,6,1,30,0,1,0,50,0,1,3,1,1
"89",197,5,6,2,30,0,0,0,50,1,0,5,3,0
"90",31,5,6,3,30,0,1,0,50,0,1,1,1,0
"91",309,6,1,1,31,0,0,0,100,1,0,5,5,1
"92",217,6,1,2,31,0,0,0,25,0,0,1,5,0
"93",100,6,1,3,31,0,0,1,25,0,1,5,1,0
"94",20,6,2,1,32,0,0,1,50,1,0,1,1,1
"95",163,6,2,2,32,0,1,0,50,1,0,3,3,0
"96",142,6,2,3,32,1,0,0,100,0,1,1,3,0
"97",57,6,3,1,33,0,0,0,100,1,0,3,1,1
"98",185,6,3,2,33,0,0,0,50,0,0,5,3,0
"99",102,6,3,3,33,1,0,0,50,0,1,5,1,0
"100",239,6,4,1,34,0,1,0,100,1,0,1,5,1
"101",167,6,4,2,34,0,1,0,100,1,0,3,3,0
"102",7,6,4,3,34,0,1,0,50,0,0,1,1,0
