"session_id","survey_flags","client_ip","time_start","completion_code","respID","time_end","consent_age","consent_understand","like_fruit","fav_fruit","screenout","cbc_q1","cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","year_of_birth","gender","race","education","income","feedback","time_q_consent_age","time_q_consent_understand","time_q_like_fruit","time_q_fav_fruit","time_q_screenout","time_q_cbc_q1","time_q_cbc_q2","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_q_year_of_birth","time_q_gender","time_q_race","time_q_education","time_q_income","time_q_feedback","time_p_welcome","time_p_consent","time_p_favorite_fruit","time_p_screening","time_p_cbc_intro","time_p_cbc_q1_page","time_p_cbc_q2_page","time_p_cbc_q3_page","time_p_cbc_q4_page","time_p_cbc_q5_page","time_p_cbc_q6_page","time_p_demographics","time_p_end_normal","time_p_end_consent","time_p_end_screenout","current_page","rfid_interest","time_q_rfid_interest","time_p_educational","browser","ip_address"
"3c40d2138c4783cda1ef6ca7b3df6fd8","A","127.0.0.1","2025-10-14 23:49:17 UTC",8759592871,921,"2025-10-14 23:49:30 UTC","","",,,"","","","","","","",,"",,,,,"","",,,"","","","","","","","","",,,,,"2025-10-14 23:49:17 UTC","2025-10-14 23:49:22 UTC","2025-10-14 23:49:23 UTC","2025-10-14 23:49:24 UTC","2025-10-14 23:49:25 UTC","2025-10-14 23:49:26 UTC","2025-10-14 23:49:27 UTC","2025-10-14 23:49:27 UTC","2025-10-14 23:49:28 UTC","2025-10-14 23:49:28 UTC","2025-10-14 23:49:28 UTC","2025-10-14 23:49:28 UTC","",,,"demographics","","","","",""
"d02634a9be928daea761428fc31fcb0d","A","127.0.0.1","2025-10-15 01:08:32 UTC",1488638378,97,"","yes","yes",,,"blue","","","","","","",,"",,,,,"2025-10-15 01:08:36 UTC","2025-10-15 01:08:36 UTC",,,"2025-10-15 01:08:38 UTC","","","","","","","","",,,,,"2025-10-15 01:08:32 UTC","2025-10-15 01:08:35 UTC","","2025-10-15 01:08:37 UTC","2025-10-15 01:08:39 UTC","2025-10-15 01:08:40 UTC","","","","","","","",,,"cbc_q1_page","","","","",""
"d24133594092924523146efa6747bbb7","A","127.0.0.1","2025-10-15 01:10:14 UTC",4106119256,191,"2025-10-15 01:10:35 UTC","","",,,"","","","","","","",,"",,,,,"","",,,"","","","","","","","","",,,,,"2025-10-15 01:10:14 UTC","2025-10-15 01:10:16 UTC","","2025-10-15 01:10:17 UTC","2025-10-15 01:10:18 UTC","2025-10-15 01:10:19 UTC","2025-10-15 01:10:32 UTC","2025-10-15 01:10:33 UTC","2025-10-15 01:10:34 UTC","","","","",,,"cbc_q4_page","","","","",""
"69cc22618ae1f4ec97f227860627345a","A","127.0.0.1","2025-10-15 01:15:00 UTC",6283695277,81,"2025-10-15 01:15:30 UTC","no","yes",,,"blue","option_2","option_3","option_3","option_2","option_1","option_2",,"",,,,,"2025-10-15 01:15:04 UTC","2025-10-15 01:15:05 UTC",,,"2025-10-15 01:15:12 UTC","2025-10-15 01:15:17 UTC","2025-10-15 01:15:18 UTC","2025-10-15 01:15:20 UTC","2025-10-15 01:15:21 UTC","2025-10-15 01:15:22 UTC","2025-10-15 01:15:23 UTC","","",,,,,"2025-10-15 01:15:00 UTC","2025-10-15 01:15:01 UTC","","2025-10-15 01:15:05 UTC","2025-10-15 01:15:14 UTC","2025-10-15 01:15:15 UTC","2025-10-15 01:15:18 UTC","2025-10-15 01:15:19 UTC","2025-10-15 01:15:20 UTC","2025-10-15 01:15:21 UTC","2025-10-15 01:15:23 UTC","2025-10-15 01:15:24 UTC","",,,"demographics","","","","",""
"775fae3edcaac565159a67a4c7c2b301","A","127.0.0.1","2025-10-15 01:17:12 UTC",9056919464,193,"2025-10-15 01:17:30 UTC","no","no",,,"blue","","","","","","",,"",,,,,"2025-10-15 01:17:20 UTC","2025-10-15 01:17:21 UTC",,,"2025-10-15 01:17:25 UTC","","","","","","","","",,,,,"2025-10-15 01:17:12 UTC","2025-10-15 01:17:17 UTC","","2025-10-15 01:17:22 UTC","2025-10-15 01:17:25 UTC","2025-10-15 01:17:26 UTC","","","","","","","",,,"cbc_q1_page","","","","",""
"754b17dbe9bbded5f93cfe83ba0d3109","A","127.0.0.1","2025-10-15 01:26:28 UTC",3833498527,377,"2025-10-15 01:28:28 UTC","yes","no",,,"blue","","","","","","",,"",,,,,"2025-10-15 01:26:31 UTC","2025-10-15 01:26:32 UTC",,,"2025-10-15 01:26:37 UTC","","","","","","","","",,,,,"2025-10-15 01:26:28 UTC","2025-10-15 01:26:29 UTC","2025-10-15 01:26:33 UTC","2025-10-15 01:26:35 UTC","","","","","","","","","",,,"educational","yes","2025-10-15 01:26:35 UTC","2025-10-15 01:26:37 UTC","",""
"64365c973c6b21d7aafaa09d2766d175","A","127.0.0.1","2025-10-15 01:28:42 UTC",7070048862,304,"2025-10-15 01:29:49 UTC","yes","yes",,,"blue","","","","","","",,"",,,,,"2025-10-15 01:29:03 UTC","2025-10-15 01:29:04 UTC",,,"2025-10-15 01:29:07 UTC","","","","","","","","",,,,,"2025-10-15 01:28:42 UTC","2025-10-15 01:29:02 UTC","2025-10-15 01:29:05 UTC","2025-10-15 01:29:06 UTC","","","","","","","","","",,,"educational","yes","2025-10-15 01:29:06 UTC","2025-10-15 01:29:08 UTC","",""
"b2f210e743b7e9a456038efe07767fa4","A","127.0.0.1","2025-10-15 01:31:34 UTC",3107961351,380,"2025-10-15 01:31:45 UTC","","",,,"","","","","","","",,"",,,,,"","",,,"","","","","","","","","",,,,,"2025-10-15 01:31:34 UTC","2025-10-15 01:31:35 UTC","2025-10-15 01:31:36 UTC","2025-10-15 01:31:37 UTC","2025-10-15 01:31:40 UTC","2025-10-15 01:31:41 UTC","2025-10-15 01:31:42 UTC","2025-10-15 01:31:42 UTC","2025-10-15 01:31:43 UTC","2025-10-15 01:31:43 UTC","","","",,,"cbc_q5_page","","","2025-10-15 01:31:38 UTC","",""
"46561408e75f308ea04ebca4771696d1","A","127.0.0.1","2025-10-15 01:35:05 UTC",7894107465,281,"","yes","yes",,,"blue","","","","","","",,"",,,,,"2025-10-15 01:35:07 UTC","2025-10-15 01:35:08 UTC",,,"2025-10-15 01:35:14 UTC","","","","","","","","",,,,,"2025-10-15 01:35:05 UTC","2025-10-15 01:35:06 UTC","2025-10-15 01:35:09 UTC","2025-10-15 01:35:13 UTC","","","","","","","","","",,,"educational","yes","2025-10-15 01:35:12 UTC","2025-10-15 01:35:15 UTC","",""
"c4541b8ee6eca6c87ce87fca5826d415","B","127.0.0.1","2025-10-15 01:36:00 UTC",8884807762,111,"2025-10-15 01:36:30 UTC","yes","yes",,,"red","option_3","option_2","option_1","option_2","option_3","option_3",2002,"trans_female",,,,,"2025-10-15 01:36:02 UTC","2025-10-15 01:36:03 UTC",,,"2025-10-15 01:36:07 UTC","2025-10-15 01:36:13 UTC","2025-10-15 01:36:16 UTC","2025-10-15 01:36:17 UTC","2025-10-15 01:36:18 UTC","2025-10-15 01:36:19 UTC","2025-10-15 01:36:20 UTC","2025-10-15 01:36:22 UTC","2025-10-15 01:36:23 UTC",,,,,"2025-10-15 01:36:00 UTC","2025-10-15 01:36:01 UTC","2025-10-15 01:36:04 UTC","2025-10-15 01:36:06 UTC","2025-10-15 01:36:11 UTC","2025-10-15 01:36:12 UTC","2025-10-15 01:36:14 UTC","2025-10-15 01:36:16 UTC","2025-10-15 01:36:17 UTC","2025-10-15 01:36:18 UTC","2025-10-15 01:36:20 UTC","2025-10-15 01:36:21 UTC","2025-10-15 01:36:25 UTC",,,"end_normal","yes","2025-10-15 01:36:05 UTC","2025-10-15 01:36:08 UTC","",""
