"session_id","time_start","time_end","completion_code","respID","browser","ip_address","consent_age","consent_understand","rfid_familiar","screenout","needles","cbc_q1","cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","year_of_birth","gender","feedback","time_q_consent_age","time_q_consent_understand","time_q_rfid_familiar","time_q_screenout","time_q_needles","time_q_cbc_q1","time_q_cbc_q2","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_q_year_of_birth","time_q_gender","time_q_feedback","time_p_welcome","time_p_consent","time_p_RFID_Familiarity","time_p_rfid_info","time_p_screening","time_p_needles_page","time_p_educational","time_p_cbc_intro","time_p_cbc_q1_page","time_p_cbc_q2_page","time_p_cbc_q3_page","time_p_cbc_q4_page","time_p_cbc_q5_page","time_p_cbc_q6_page","time_p_demographics","time_p_end_normal","time_p_end_consent","time_p_end_screenout","current_page"
"3634a469d311d6178675049c2059e20a","2025-11-25 06:37:31 UTC","2025-11-25 06:41:08 UTC","6682350485","277","Chrome v140, Windows","130.255.64.95","yes","yes","yes","red","red","option_2","option_1","option_2","option_2","option_1","option_2","1980","man","N/A","2025-11-25 06:38:11 UTC","2025-11-25 06:38:12 UTC","2025-11-25 06:38:15 UTC","2025-11-25 06:38:19 UTC","2025-11-25 06:38:30 UTC","2025-11-25 06:38:47 UTC","2025-11-25 06:38:50 UTC","2025-11-25 06:39:25 UTC","2025-11-25 06:39:30 UTC","2025-11-25 06:39:44 UTC","2025-11-25 06:39:48 UTC","2025-11-25 06:40:18 UTC","2025-11-25 06:40:07 UTC","2025-11-25 06:40:32 UTC","2025-11-25 06:37:31 UTC","2025-11-25 06:37:59 UTC","2025-11-25 06:38:13 UTC",NA,"2025-11-25 06:38:16 UTC","2025-11-25 06:38:28 UTC","2025-11-25 06:38:31 UTC","2025-11-25 06:38:38 UTC","2025-11-25 06:38:40 UTC","2025-11-25 06:38:48 UTC","2025-11-25 06:39:23 UTC","2025-11-25 06:39:26 UTC","2025-11-25 06:39:43 UTC","2025-11-25 06:39:45 UTC","2025-11-25 06:39:48 UTC","2025-11-25 06:40:46 UTC",NA,NA,"end_normal"
"69413cea777ce79ad752da665f8673c3","2025-11-25 02:18:39 UTC","2025-11-25 02:23:57 UTC","1606504489","426","Edge v142, Windows","172.56.104.20","yes","yes","no","blue","red","option_2","option_3","option_2","option_1","option_2","option_2","1980","man","I was born in 1969, not 1980 ERROR.","2025-11-25 02:18:49 UTC","2025-11-25 02:18:50 UTC","2025-11-25 02:19:08 UTC","2025-11-25 02:20:00 UTC","2025-11-25 02:20:03 UTC","2025-11-25 02:21:57 UTC","2025-11-25 02:22:05 UTC","2025-11-25 02:22:15 UTC","2025-11-25 02:22:19 UTC","2025-11-25 02:22:23 UTC","2025-11-25 02:22:27 UTC","2025-11-25 02:22:58 UTC","2025-11-25 02:22:43 UTC","2025-11-25 02:23:27 UTC","2025-11-25 02:18:39 UTC","2025-11-25 02:18:46 UTC","2025-11-25 02:18:52 UTC","2025-11-25 02:19:09 UTC","2025-11-25 02:19:50 UTC","2025-11-25 02:20:01 UTC","2025-11-25 02:20:04 UTC","2025-11-25 02:21:41 UTC","2025-11-25 02:21:48 UTC","2025-11-25 02:22:00 UTC","2025-11-25 02:22:07 UTC","2025-11-25 02:22:16 UTC","2025-11-25 02:22:21 UTC","2025-11-25 02:22:24 UTC","2025-11-25 02:22:28 UTC","2025-11-25 02:23:32 UTC",NA,NA,"end_normal"
"11e0f30a0a378ccdc56be378ae6db7b5","2025-11-25 02:22:53 UTC","2025-11-25 02:26:13 UTC","3537761650","74","Edge v142, Windows","76.38.116.128","yes","yes","yes","red","blue","option_2","option_3","option_2","option_1","option_2","option_3","1993","woman","The survey ran well. I would be uncomfortable with any sort of implants, but I think the wearables are a really cool idea.","2025-11-25 02:23:03 UTC","2025-11-25 02:23:03 UTC","2025-11-25 02:23:10 UTC","2025-11-25 02:23:23 UTC","2025-11-25 02:23:27 UTC","2025-11-25 02:24:04 UTC","2025-11-25 02:24:21 UTC","2025-11-25 02:24:36 UTC","2025-11-25 02:25:00 UTC","2025-11-25 02:25:04 UTC","2025-11-25 02:25:18 UTC","2025-11-25 02:25:26 UTC","2025-11-25 02:25:28 UTC","2025-11-25 02:25:51 UTC","2025-11-25 02:22:53 UTC","2025-11-25 02:22:57 UTC","2025-11-25 02:23:05 UTC",NA,"2025-11-25 02:23:11 UTC","2025-11-25 02:23:25 UTC","2025-11-25 02:23:28 UTC","2025-11-25 02:23:53 UTC","2025-11-25 02:23:57 UTC","2025-11-25 02:24:11 UTC","2025-11-25 02:24:28 UTC","2025-11-25 02:24:43 UTC","2025-11-25 02:25:01 UTC","2025-11-25 02:25:11 UTC","2025-11-25 02:25:21 UTC","2025-11-25 02:25:53 UTC",NA,NA,"end_normal"
"b358118dabd219337b35bac2f118b362","2025-11-24 11:12:10 UTC","2025-11-24 11:13:00 UTC","5219747120","172","Chrome v141, Mac OS X","69.249.211.70","yes","yes","no","blue","red","option_1","option_1","option_1",NA,NA,NA,NA,NA,NA,"2025-11-24 11:12:21 UTC","2025-11-24 11:12:22 UTC","2025-11-24 11:12:24 UTC","2025-11-24 11:12:29 UTC","2025-11-24 11:12:33 UTC","2025-11-24 11:12:39 UTC","2025-11-24 11:12:40 UTC","2025-11-24 11:12:42 UTC",NA,NA,NA,NA,NA,NA,"2025-11-24 11:12:10 UTC","2025-11-24 11:12:20 UTC","2025-11-24 11:12:22 UTC","2025-11-24 11:12:25 UTC","2025-11-24 11:12:27 UTC","2025-11-24 11:12:30 UTC","2025-11-24 11:12:34 UTC","2025-11-24 11:12:36 UTC","2025-11-24 11:12:37 UTC","2025-11-24 11:12:39 UTC","2025-11-24 11:12:41 UTC","2025-11-24 11:12:43 UTC",NA,NA,NA,NA,NA,NA,"cbc_q4_page"
"64dd7fdf8e896d9bea3ecc581116ec57","2025-11-21 15:01:11 UTC","2025-11-21 15:01:58 UTC","9753333493","227","Electron v34, Mac OS X","127.0.0.1","yes","yes","yes","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-11-21 15:01:41 UTC","2025-11-21 15:01:41 UTC","2025-11-21 15:01:45 UTC","2025-11-21 15:01:46 UTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-11-21 15:01:11 UTC","2025-11-21 15:01:27 UTC","2025-11-21 15:01:42 UTC",NA,"2025-11-21 15:01:45 UTC","2025-11-21 15:01:47 UTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"needles_page"
"726f05a5eca855ac8ace2fbf4bb92794","2025-11-21 15:07:52 UTC","2025-11-21 15:09:24 UTC","5331215044","10","Chrome v142, Mac OS X","128.164.171.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-11-21 15:07:52 UTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7d138757bfc1bb36874d7db1e64958e4","2025-11-25 07:17:01 UTC","2025-11-25 07:18:35 UTC","1241840527","228","Chrome v142, Windows","24.118.31.169","yes","yes","yes","red","red","option_2","option_2","option_1","option_1","option_2","option_1","1980","man","None","2025-11-25 07:17:06 UTC","2025-11-25 07:17:07 UTC","2025-11-25 07:17:10 UTC","2025-11-25 07:17:13 UTC","2025-11-25 07:17:16 UTC","2025-11-25 07:17:32 UTC","2025-11-25 07:17:36 UTC","2025-11-25 07:17:49 UTC","2025-11-25 07:17:52 UTC","2025-11-25 07:17:55 UTC","2025-11-25 07:17:58 UTC","2025-11-25 07:18:04 UTC","2025-11-25 07:18:06 UTC","2025-11-25 07:18:10 UTC","2025-11-25 07:17:01 UTC","2025-11-25 07:17:03 UTC","2025-11-25 07:17:08 UTC",NA,"2025-11-25 07:17:11 UTC","2025-11-25 07:17:14 UTC","2025-11-25 07:17:17 UTC","2025-11-25 07:17:22 UTC","2025-11-25 07:17:24 UTC","2025-11-25 07:17:33 UTC","2025-11-25 07:17:37 UTC","2025-11-25 07:17:50 UTC","2025-11-25 07:17:53 UTC","2025-11-25 07:17:56 UTC","2025-11-25 07:17:59 UTC","2025-11-25 07:18:12 UTC",NA,NA,"end_normal"
"a429b5d4981ddf6620ce8358b59f863c","2025-11-25 07:26:30 UTC","2025-11-25 07:43:55 UTC","5115078695","129","Chrome v142, Windows","73.192.225.86","yes","yes","yes","red","red","option_2","option_1","option_2","option_2","option_1","option_2","1980","man","none","2025-11-25 07:36:53 UTC","2025-11-25 07:36:55 UTC","2025-11-25 07:36:59 UTC","2025-11-25 07:37:22 UTC","2025-11-25 07:37:25 UTC","2025-11-25 07:41:40 UTC","2025-11-25 07:41:48 UTC","2025-11-25 07:41:54 UTC","2025-11-25 07:41:59 UTC","2025-11-25 07:42:04 UTC","2025-11-25 07:42:12 UTC","2025-11-25 07:42:47 UTC","2025-11-25 07:42:21 UTC","2025-11-25 07:42:53 UTC","2025-11-25 07:26:30 UTC","2025-11-25 07:28:08 UTC","2025-11-25 07:36:56 UTC",NA,"2025-11-25 07:37:00 UTC","2025-11-25 07:37:22 UTC","2025-11-25 07:37:26 UTC","2025-11-25 07:41:05 UTC","2025-11-25 07:41:11 UTC","2025-11-25 07:41:41 UTC","2025-11-25 07:41:48 UTC","2025-11-25 07:41:55 UTC","2025-11-25 07:42:00 UTC","2025-11-25 07:42:05 UTC","2025-11-25 07:42:13 UTC","2025-11-25 07:42:59 UTC",NA,NA,"end_normal"
"8582a58d43adb8fc0f33f4f8664e93d3","2025-11-25 03:08:14 UTC","2025-11-25 03:12:54 UTC","7556458609","180","Chrome v142, Mac OS X","108.217.72.81","yes","yes","yes","blue","blue","option_3","option_2","option_3","option_1","option_3","option_1","1981","man",NA,"2025-11-25 03:08:20 UTC","2025-11-25 03:08:22 UTC","2025-11-25 03:08:28 UTC","2025-11-25 03:08:41 UTC","2025-11-25 03:08:44 UTC","2025-11-25 03:09:05 UTC","2025-11-25 03:09:13 UTC","2025-11-25 03:09:20 UTC","2025-11-25 03:09:38 UTC","2025-11-25 03:09:46 UTC","2025-11-25 03:09:54 UTC","2025-11-25 03:09:57 UTC","2025-11-25 03:10:07 UTC","2025-11-25 03:12:28 UTC","2025-11-25 03:08:14 UTC","2025-11-25 03:08:18 UTC","2025-11-25 03:08:23 UTC",NA,"2025-11-25 03:08:29 UTC","2025-11-25 03:08:42 UTC","2025-11-25 03:08:46 UTC","2025-11-25 03:08:52 UTC","2025-11-25 03:08:55 UTC","2025-11-25 03:09:08 UTC","2025-11-25 03:09:15 UTC","2025-11-25 03:09:21 UTC","2025-11-25 03:09:38 UTC","2025-11-25 03:09:46 UTC","2025-11-25 03:09:54 UTC","2025-11-25 03:12:30 UTC",NA,NA,"end_normal"
"d6d6c1e203dcae237d8c203b985eb76e","2025-11-25 02:12:57 UTC","2025-11-25 02:25:48 UTC","7848231193","381","Edge v142, Windows","76.166.182.222","yes","yes","yes","red","red","option_2","option_1","option_2","option_3","option_2","option_3","2005","man","It was a nice clean study.","2025-11-25 02:23:25 UTC","2025-11-25 02:23:26 UTC","2025-11-25 02:24:44 UTC","2025-11-25 02:24:46 UTC","2025-11-25 02:24:49 UTC","2025-11-25 02:24:56 UTC","2025-11-25 02:25:02 UTC","2025-11-25 02:25:04 UTC","2025-11-25 02:25:06 UTC","2025-11-25 02:25:09 UTC","2025-11-25 02:25:12 UTC","2025-11-25 02:25:17 UTC","2025-11-25 02:25:19 UTC","2025-11-25 02:25:27 UTC","2025-11-25 02:12:57 UTC","2025-11-25 02:23:24 UTC","2025-11-25 02:23:27 UTC",NA,"2025-11-25 02:24:44 UTC","2025-11-25 02:24:47 UTC","2025-11-25 02:24:50 UTC","2025-11-25 02:24:51 UTC","2025-11-25 02:24:52 UTC","2025-11-25 02:24:57 UTC","2025-11-25 02:25:02 UTC","2025-11-25 02:25:05 UTC","2025-11-25 02:25:07 UTC","2025-11-25 02:25:10 UTC","2025-11-25 02:25:13 UTC","2025-11-25 02:25:28 UTC",NA,NA,"end_normal"
