session_id,respID,qID,profileID,altID,obsID,choice,time_total,time_cbc_total,time_min_total,time_min_cbc,price,capacity,range,type,compatability
3634a469d311d6178675049c2059e20a,1,1,315,1,1,0,217,65,3.6166666666666667,1.0833333333333333,25,5,1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,1,122,2,1,1,217,65,3.6166666666666667,1.0833333333333333,25,1,0.5,Ring,Android
3634a469d311d6178675049c2059e20a,1,1,286,3,1,0,217,65,3.6166666666666667,1.0833333333333333,100,3,1,Ring,iOS/Android
3634a469d311d6178675049c2059e20a,1,2,243,1,2,1,217,65,3.6166666666666667,1.0833333333333333,25,1,1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,2,109,2,2,0,217,65,3.6166666666666667,1.0833333333333333,25,1,0.5,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,2,294,3,2,0,217,65,3.6166666666666667,1.0833333333333333,50,5,1,Ring,iOS
3634a469d311d6178675049c2059e20a,1,3,206,1,3,0,217,65,3.6166666666666667,1.0833333333333333,25,5,0.5,Ring,iOS/Android
3634a469d311d6178675049c2059e20a,1,3,321,2,3,1,217,65,3.6166666666666667,1.0833333333333333,100,5,1,Implantable,iOS/Android
3634a469d311d6178675049c2059e20a,1,3,293,3,3,0,217,65,3.6166666666666667,1.0833333333333333,50,5,1,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,4,95,1,4,0,217,65,3.6166666666666667,1.0833333333333333,100,5,0.1,Bracelet,Android
3634a469d311d6178675049c2059e20a,1,4,120,2,4,1,217,65,3.6166666666666667,1.0833333333333333,100,1,0.5,Card,iOS
3634a469d311d6178675049c2059e20a,1,4,168,3,4,0,217,65,3.6166666666666667,1.0833333333333333,100,3,0.5,Card,Android
3634a469d311d6178675049c2059e20a,1,5,161,1,5,1,217,65,3.6166666666666667,1.0833333333333333,50,3,0.5,Implantable,Android
3634a469d311d6178675049c2059e20a,1,5,201,2,5,0,217,65,3.6166666666666667,1.0833333333333333,100,5,0.5,Implantable,Android
3634a469d311d6178675049c2059e20a,1,5,99,3,5,0,217,65,3.6166666666666667,1.0833333333333333,25,5,0.1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,6,153,1,6,0,217,65,3.6166666666666667,1.0833333333333333,100,3,0.5,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,6,277,2,6,1,217,65,3.6166666666666667,1.0833333333333333,25,3,1,Implantable,iOS/Android
3634a469d311d6178675049c2059e20a,1,6,245,3,6,0,217,65,3.6166666666666667,1.0833333333333333,50,1,1,Implantable,iOS/Android
69413cea777ce79ad752da665f8673c3,2,1,86,1,7,0,318,36,5.3,0.6,25,5,0.1,Ring,Android
69413cea777ce79ad752da665f8673c3,2,1,37,2,7,1,318,36,5.3,0.6,25,3,0.1,Implantable,iOS
69413cea777ce79ad752da665f8673c3,2,1,78,3,7,0,318,36,5.3,0.6,50,5,0.1,Ring,iOS
69413cea777ce79ad752da665f8673c3,2,2,66,1,8,0,318,36,5.3,0.6,50,3,0.1,Ring,iOS/Android
69413cea777ce79ad752da665f8673c3,2,2,295,2,8,0,318,36,5.3,0.6,50,5,1,Bracelet,iOS
69413cea777ce79ad752da665f8673c3,2,2,237,3,8,1,318,36,5.3,0.6,100,1,1,Implantable,Android
69413cea777ce79ad752da665f8673c3,2,3,222,1,9,0,318,36,5.3,0.6,50,1,1,Ring,iOS
69413cea777ce79ad752da665f8673c3,2,3,208,2,9,1,318,36,5.3,0.6,25,5,0.5,Card,iOS/Android
69413cea777ce79ad752da665f8673c3,2,3,118,3,9,0,318,36,5.3,0.6,100,1,0.5,Ring,iOS
69413cea777ce79ad752da665f8673c3,2,4,140,1,10,1,318,36,5.3,0.6,50,1,0.5,Card,iOS/Android
69413cea777ce79ad752da665f8673c3,2,4,67,2,10,0,318,36,5.3,0.6,50,3,0.1,Bracelet,iOS/Android
69413cea777ce79ad752da665f8673c3,2,4,45,3,10,0,318,36,5.3,0.6,100,3,0.1,Implantable,iOS
69413cea777ce79ad752da665f8673c3,2,5,170,1,11,0,318,36,5.3,0.6,25,3,0.5,Ring,iOS/Android
69413cea777ce79ad752da665f8673c3,2,5,223,2,11,1,318,36,5.3,0.6,50,1,1,Bracelet,iOS
69413cea777ce79ad752da665f8673c3,2,5,112,3,11,0,318,36,5.3,0.6,25,1,0.5,Card,iOS
69413cea777ce79ad752da665f8673c3,2,6,290,1,12,0,318,36,5.3,0.6,25,5,1,Ring,iOS
69413cea777ce79ad752da665f8673c3,2,6,157,2,12,1,318,36,5.3,0.6,25,3,0.5,Implantable,Android
69413cea777ce79ad752da665f8673c3,2,6,149,3,12,0,318,36,5.3,0.6,50,3,0.5,Implantable,iOS
7d138757bfc1bb36874d7db1e64958e4,3,1,228,1,13,0,94,32,1.5666666666666667,0.5333333333333333,100,1,1,Card,iOS
7d138757bfc1bb36874d7db1e64958e4,3,1,64,2,13,1,94,32,1.5666666666666667,0.5333333333333333,25,3,0.1,Card,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,1,97,3,13,0,94,32,1.5666666666666667,0.5333333333333333,25,5,0.1,Implantable,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,2,130,1,14,0,94,32,1.5666666666666667,0.5333333333333333,100,1,0.5,Ring,Android
7d138757bfc1bb36874d7db1e64958e4,3,2,240,2,14,1,94,32,1.5666666666666667,0.5333333333333333,100,1,1,Card,Android
7d138757bfc1bb36874d7db1e64958e4,3,2,238,3,14,0,94,32,1.5666666666666667,0.5333333333333333,100,1,1,Ring,Android
7d138757bfc1bb36874d7db1e64958e4,3,3,35,1,15,1,94,32,1.5666666666666667,0.5333333333333333,100,1,0.1,Bracelet,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,3,196,2,15,0,94,32,1.5666666666666667,0.5333333333333333,25,5,0.5,Card,Android
7d138757bfc1bb36874d7db1e64958e4,3,3,46,3,15,0,94,32,1.5666666666666667,0.5333333333333333,100,3,0.1,Ring,iOS
7d138757bfc1bb36874d7db1e64958e4,3,4,294,1,16,1,94,32,1.5666666666666667,0.5333333333333333,50,5,1,Ring,iOS
7d138757bfc1bb36874d7db1e64958e4,3,4,161,2,16,0,94,32,1.5666666666666667,0.5333333333333333,50,3,0.5,Implantable,Android
7d138757bfc1bb36874d7db1e64958e4,3,4,12,3,16,0,94,32,1.5666666666666667,0.5333333333333333,100,1,0.1,Card,iOS
7d138757bfc1bb36874d7db1e64958e4,3,5,181,1,17,0,94,32,1.5666666666666667,0.5333333333333333,25,5,0.5,Implantable,iOS
7d138757bfc1bb36874d7db1e64958e4,3,5,167,2,17,1,94,32,1.5666666666666667,0.5333333333333333,100,3,0.5,Bracelet,Android
7d138757bfc1bb36874d7db1e64958e4,3,5,102,3,17,0,94,32,1.5666666666666667,0.5333333333333333,50,5,0.1,Ring,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,6,304,1,18,1,94,32,1.5666666666666667,0.5333333333333333,25,5,1,Card,Android
7d138757bfc1bb36874d7db1e64958e4,3,6,179,2,18,0,94,32,1.5666666666666667,0.5333333333333333,100,3,0.5,Bracelet,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,6,44,3,18,0,94,32,1.5666666666666667,0.5333333333333333,50,3,0.1,Card,iOS
a429b5d4981ddf6620ce8358b59f863c,4,1,33,1,19,0,1045,54,17.416666666666668,0.9,100,1,0.1,Implantable,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,1,164,2,19,1,1045,54,17.416666666666668,0.9,50,3,0.5,Card,Android
a429b5d4981ddf6620ce8358b59f863c,4,1,26,3,19,0,1045,54,17.416666666666668,0.9,25,1,0.1,Ring,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,2,201,1,20,1,1045,54,17.416666666666668,0.9,100,5,0.5,Implantable,Android
a429b5d4981ddf6620ce8358b59f863c,4,2,119,2,20,0,1045,54,17.416666666666668,0.9,100,1,0.5,Bracelet,iOS
a429b5d4981ddf6620ce8358b59f863c,4,2,143,3,20,0,1045,54,17.416666666666668,0.9,100,1,0.5,Bracelet,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,3,149,1,21,0,1045,54,17.416666666666668,0.9,50,3,0.5,Implantable,iOS
a429b5d4981ddf6620ce8358b59f863c,4,3,25,2,21,1,1045,54,17.416666666666668,0.9,25,1,0.1,Implantable,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,3,228,3,21,0,1045,54,17.416666666666668,0.9,100,1,1,Card,iOS
a429b5d4981ddf6620ce8358b59f863c,4,4,106,1,22,0,1045,54,17.416666666666668,0.9,100,5,0.1,Ring,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,4,272,2,22,1,1045,54,17.416666666666668,0.9,50,3,1,Card,Android
a429b5d4981ddf6620ce8358b59f863c,4,4,76,3,22,0,1045,54,17.416666666666668,0.9,25,5,0.1,Card,iOS
a429b5d4981ddf6620ce8358b59f863c,4,5,307,1,23,1,1045,54,17.416666666666668,0.9,50,5,1,Bracelet,Android
a429b5d4981ddf6620ce8358b59f863c,4,5,77,2,23,0,1045,54,17.416666666666668,0.9,50,5,0.1,Implantable,iOS
a429b5d4981ddf6620ce8358b59f863c,4,5,313,3,23,0,1045,54,17.416666666666668,0.9,25,5,1,Implantable,iOS/Android
a429b5d4981ddf6620ce8358b59f863c,4,6,308,1,24,0,1045,54,17.416666666666668,0.9,50,5,1,Card,Android
a429b5d4981ddf6620ce8358b59f863c,4,6,261,2,24,1,1045,54,17.416666666666668,0.9,100,3,1,Implantable,iOS
a429b5d4981ddf6620ce8358b59f863c,4,6,134,3,24,0,1045,54,17.416666666666668,0.9,25,1,0.5,Ring,iOS/Android
d6d6c1e203dcae237d8c203b985eb76e,5,1,180,1,25,0,771,18,12.85,0.3,100,3,0.5,Card,iOS/Android
d6d6c1e203dcae237d8c203b985eb76e,5,1,101,2,25,1,771,18,12.85,0.3,50,5,0.1,Implantable,iOS/Android
d6d6c1e203dcae237d8c203b985eb76e,5,1,15,3,25,0,771,18,12.85,0.3,25,1,0.1,Bracelet,Android
d6d6c1e203dcae237d8c203b985eb76e,5,2,263,1,26,1,771,18,12.85,0.3,100,3,1,Bracelet,iOS
d6d6c1e203dcae237d8c203b985eb76e,5,2,233,2,26,0,771,18,12.85,0.3,50,1,1,Implantable,Android
d6d6c1e203dcae237d8c203b985eb76e,5,2,61,3,26,0,771,18,12.85,0.3,25,3,0.1,Implantable,iOS/Android
d6d6c1e203dcae237d8c203b985eb76e,5,3,180,1,27,0,771,18,12.85,0.3,100,3,0.5,Card,iOS/Android
d6d6c1e203dcae237d8c203b985eb76e,5,3,61,2,27,1,771,18,12.85,0.3,25,3,0.1,Implantable,iOS/Android
