"session_id","time_start","time_end","completion_code","respID","browser","ip_address","consent_age","consent_understand","rfid_interest","screenout","cbc_q1","cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","year_of_birth","gender","feedback","time_q_consent_age","time_q_consent_understand","time_q_rfid_interest","time_q_screenout","time_q_cbc_q1","time_q_cbc_q2","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_q_year_of_birth","time_q_gender","time_q_feedback","time_p_welcome","time_p_consent","time_p_favorite_fruit","time_p_screening","time_p_educational","time_p_cbc_intro","time_p_cbc_q1_page","time_p_cbc_q2_page","time_p_cbc_q3_page","time_p_cbc_q4_page","time_p_cbc_q5_page","time_p_cbc_q6_page","time_p_demographics","time_p_end_normal","time_p_end_consent","time_p_end_screenout","current_page"
"87a62be706f889a8bfd472d36af4681d","2025-10-20 01:39:39 UTC","2025-10-20 01:42:46 UTC","6618232469","394","Chrome v141, Windows","68.100.46.163","yes","yes","no","red","option_1","option_1","option_1","option_3","option_1","option_3","2002","female","I suggest adding more thorough information about RFID at the beginning of the survey 
","2025-10-20 01:39:48 UTC","2025-10-20 01:39:50 UTC","2025-10-20 01:39:54 UTC","2025-10-20 01:40:50 UTC","2025-10-20 01:41:07 UTC","2025-10-20 01:41:09 UTC","2025-10-20 01:41:15 UTC","2025-10-20 01:41:19 UTC","2025-10-20 01:41:23 UTC","2025-10-20 01:41:27 UTC","2025-10-20 01:41:31 UTC","2025-10-20 01:41:34 UTC","2025-10-20 01:42:22 UTC","2025-10-20 01:39:39 UTC","2025-10-20 01:39:46 UTC","2025-10-20 01:39:51 UTC","2025-10-20 01:39:55 UTC","2025-10-20 01:40:51 UTC","2025-10-20 01:41:00 UTC","2025-10-20 01:41:02 UTC","2025-10-20 01:41:08 UTC","2025-10-20 01:41:13 UTC","2025-10-20 01:41:16 UTC","2025-10-20 01:41:20 UTC","2025-10-20 01:41:24 UTC","2025-10-20 01:41:28 UTC","2025-10-20 01:42:23 UTC",NA,NA,"end_normal"
"a620afcfc6ac5b3c78f2ee91ee977829","2025-10-16 17:28:58 UTC","2025-10-16 17:32:06 UTC","5076451774","280","Chrome v141, Mac OS X","161.253.25.30","yes","yes","yes","red","option_2","option_2","option_3","option_3","option_3","option_1","2003","male","When you say 'compatibility', and put 'both' what is 'both' specify. ","2025-10-16 17:29:03 UTC","2025-10-16 17:29:04 UTC","2025-10-16 17:29:06 UTC","2025-10-16 17:29:12 UTC","2025-10-16 17:29:48 UTC","2025-10-16 17:29:58 UTC","2025-10-16 17:30:05 UTC","2025-10-16 17:30:11 UTC","2025-10-16 17:30:17 UTC","2025-10-16 17:30:20 UTC","2025-10-16 17:30:28 UTC","2025-10-16 17:30:31 UTC","2025-10-16 17:31:31 UTC","2025-10-16 17:28:58 UTC","2025-10-16 17:29:01 UTC","2025-10-16 17:29:05 UTC","2025-10-16 17:29:07 UTC","2025-10-16 17:29:12 UTC","2025-10-16 17:29:27 UTC","2025-10-16 17:29:29 UTC","2025-10-16 17:29:49 UTC","2025-10-16 17:29:58 UTC","2025-10-16 17:30:05 UTC","2025-10-16 17:30:12 UTC","2025-10-16 17:30:18 UTC","2025-10-16 17:30:22 UTC","2025-10-16 17:31:35 UTC",NA,NA,"end_normal"
"f8b5d3a0e5b3723b33d1453ef86f53d5","2025-10-22 21:04:01 UTC","2025-10-22 21:09:07 UTC","6445518547","108","Chrome v141, Windows","128.164.171.27","yes","yes","kind_of","red","option_2","option_2","option_2","option_2","option_3","option_3","2003","male","Nice","2025-10-22 21:04:06 UTC","2025-10-22 21:04:07 UTC","2025-10-22 21:04:10 UTC","2025-10-22 21:04:13 UTC","2025-10-22 21:07:05 UTC","2025-10-22 21:07:10 UTC","2025-10-22 21:07:12 UTC","2025-10-22 21:07:16 UTC","2025-10-22 21:07:19 UTC","2025-10-22 21:07:23 UTC","2025-10-22 21:07:43 UTC","2025-10-22 21:07:47 UTC","2025-10-22 21:08:48 UTC","2025-10-22 21:04:01 UTC","2025-10-22 21:04:04 UTC","2025-10-22 21:04:09 UTC","2025-10-22 21:04:11 UTC","2025-10-22 21:04:14 UTC","2025-10-22 21:04:52 UTC","2025-10-22 21:04:53 UTC","2025-10-22 21:07:07 UTC","2025-10-22 21:07:11 UTC","2025-10-22 21:07:14 UTC","2025-10-22 21:07:18 UTC","2025-10-22 21:07:21 UTC","2025-10-22 21:07:24 UTC","2025-10-22 21:08:49 UTC",NA,NA,"end_normal"
"4647974ed0ae2a58e5b4cd4d803824d8","2025-10-18 21:38:57 UTC","2025-10-18 21:43:31 UTC","3723958544","387","Chrome v141, Mac OS X","69.250.60.198","yes","yes","kind_of","red","option_2","option_2","option_3","option_1","option_3","option_1","2001","male",NA,"2025-10-18 21:39:02 UTC","2025-10-18 21:39:03 UTC","2025-10-18 21:39:07 UTC","2025-10-18 21:39:12 UTC","2025-10-18 21:40:35 UTC","2025-10-18 21:40:45 UTC","2025-10-18 21:40:58 UTC","2025-10-18 21:41:02 UTC","2025-10-18 21:41:05 UTC","2025-10-18 21:42:23 UTC","2025-10-18 21:42:27 UTC","2025-10-18 21:42:31 UTC","2025-10-18 21:43:12 UTC","2025-10-18 21:38:57 UTC","2025-10-18 21:39:01 UTC","2025-10-18 21:39:04 UTC","2025-10-18 21:39:09 UTC","2025-10-18 21:39:13 UTC","2025-10-18 21:40:06 UTC","2025-10-18 21:40:07 UTC","2025-10-18 21:40:36 UTC","2025-10-18 21:40:50 UTC","2025-10-18 21:40:58 UTC","2025-10-18 21:41:03 UTC","2025-10-18 21:41:06 UTC","2025-10-18 21:42:24 UTC","2025-10-18 21:43:13 UTC",NA,NA,"end_normal"
"6541fe358f2766672d91bb85a6949135","2025-10-18 19:36:16 UTC","2025-10-18 19:37:45 UTC","8324504763","106","Chrome v137, Android","172.56.3.150","yes","yes","no","red","option_1","option_1","option_2","option_1","option_3","option_1","2001","female",NA,"2025-10-18 19:36:20 UTC","2025-10-18 19:36:21 UTC","2025-10-18 19:36:22 UTC","2025-10-18 19:36:24 UTC","2025-10-18 19:36:46 UTC","2025-10-18 19:36:50 UTC","2025-10-18 19:36:55 UTC","2025-10-18 19:36:57 UTC","2025-10-18 19:37:00 UTC","2025-10-18 19:37:03 UTC","2025-10-18 19:37:16 UTC","2025-10-18 19:37:19 UTC","2025-10-18 19:37:27 UTC","2025-10-18 19:36:16 UTC","2025-10-18 19:36:17 UTC","2025-10-18 19:36:21 UTC","2025-10-18 19:36:22 UTC","2025-10-18 19:36:28 UTC","2025-10-18 19:36:41 UTC","2025-10-18 19:36:42 UTC","2025-10-18 19:36:48 UTC","2025-10-18 19:36:50 UTC","2025-10-18 19:36:56 UTC","2025-10-18 19:36:58 UTC","2025-10-18 19:37:00 UTC","2025-10-18 19:37:04 UTC","2025-10-18 19:37:28 UTC",NA,NA,"end_normal"
"ca09622b09064b643f25ff649daee6fb","2025-10-22 20:54:29 UTC","2025-10-22 20:56:19 UTC","8407198941","197","Chrome v127, Mac OS X","128.164.171.28","yes","yes","no","red","option_2","option_2","option_1","option_1","option_2","option_2","2001","female",NA,"2025-10-22 20:54:33 UTC","2025-10-22 20:54:34 UTC","2025-10-22 20:54:38 UTC","2025-10-22 20:54:45 UTC","2025-10-22 20:55:07 UTC","2025-10-22 20:55:14 UTC","2025-10-22 20:55:23 UTC","2025-10-22 20:55:26 UTC","2025-10-22 20:55:29 UTC","2025-10-22 20:55:34 UTC","2025-10-22 20:55:41 UTC","2025-10-22 20:55:44 UTC","2025-10-22 20:55:58 UTC","2025-10-22 20:54:29 UTC","2025-10-22 20:54:31 UTC","2025-10-22 20:54:35 UTC","2025-10-22 20:54:39 UTC","2025-10-22 20:54:46 UTC","2025-10-22 20:54:49 UTC","2025-10-22 20:54:51 UTC","2025-10-22 20:55:08 UTC","2025-10-22 20:55:15 UTC","2025-10-22 20:55:24 UTC","2025-10-22 20:55:28 UTC","2025-10-22 20:55:30 UTC","2025-10-22 20:55:35 UTC","2025-10-22 20:55:59 UTC",NA,NA,"end_normal"
"0468d3a399d8429059162af8611b3564","2025-10-21 00:45:33 UTC","2025-10-21 00:49:19 UTC","4783259140","291","Chrome v141, Mac OS X","209.249.213.18","yes","yes","no","red","option_2","option_2","option_2","option_1","option_2","option_2","2003","female","d","2025-10-21 00:45:59 UTC","2025-10-21 00:46:00 UTC","2025-10-21 00:47:25 UTC","2025-10-21 00:47:37 UTC","2025-10-21 00:47:54 UTC","2025-10-21 00:47:57 UTC","2025-10-21 00:48:06 UTC","2025-10-21 00:48:09 UTC","2025-10-21 00:48:14 UTC","2025-10-21 00:48:26 UTC","2025-10-21 00:48:47 UTC","2025-10-21 00:48:37 UTC","2025-10-21 00:48:44 UTC","2025-10-21 00:45:33 UTC","2025-10-21 00:45:56 UTC","2025-10-21 00:46:12 UTC","2025-10-21 00:47:26 UTC","2025-10-21 00:47:38 UTC","2025-10-21 00:47:44 UTC","2025-10-21 00:47:49 UTC","2025-10-21 00:47:55 UTC","2025-10-21 00:47:58 UTC","2025-10-21 00:48:06 UTC","2025-10-21 00:48:10 UTC","2025-10-21 00:48:14 UTC","2025-10-21 00:48:27 UTC","2025-10-21 00:48:49 UTC",NA,NA,"end_normal"
"9a9e4f063deac1f60db16370db27c2e4","2025-10-22 20:56:26 UTC","2025-10-22 21:04:09 UTC","5496442878","445","Chrome v141, Windows","128.164.171.27","yes","yes","yes","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-10-22 20:56:49 UTC","2025-10-22 20:56:50 UTC","2025-10-22 20:56:55 UTC","2025-10-22 20:57:02 UTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-10-22 20:56:26 UTC","2025-10-22 20:56:47 UTC","2025-10-22 20:56:51 UTC","2025-10-22 20:56:56 UTC","2025-10-22 20:57:03 UTC","2025-10-22 21:03:21 UTC","2025-10-22 21:03:23 UTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cbc_q1_page"
"02742b99215eb45238c5a3771623bde0","2025-10-22 19:25:55 UTC","2025-10-22 19:27:42 UTC","5249511843","13","Chrome v141, Windows","161.253.25.27","yes","yes","kind_of","red","option_3","option_2","option_2","option_3","option_2","option_1","2001","female",NA,"2025-10-22 19:26:00 UTC","2025-10-22 19:26:01 UTC","2025-10-22 19:26:08 UTC","2025-10-22 19:26:16 UTC","2025-10-22 19:26:28 UTC","2025-10-22 19:26:30 UTC","2025-10-22 19:26:33 UTC","2025-10-22 19:26:36 UTC","2025-10-22 19:26:39 UTC","2025-10-22 19:26:43 UTC","2025-10-22 19:26:49 UTC","2025-10-22 19:26:52 UTC","2025-10-22 19:27:01 UTC","2025-10-22 19:25:55 UTC","2025-10-22 19:25:58 UTC","2025-10-22 19:26:02 UTC","2025-10-22 19:26:09 UTC","2025-10-22 19:26:17 UTC","2025-10-22 19:26:23 UTC","2025-10-22 19:26:25 UTC","2025-10-22 19:26:29 UTC","2025-10-22 19:26:31 UTC","2025-10-22 19:26:35 UTC","2025-10-22 19:26:38 UTC","2025-10-22 19:26:40 UTC","2025-10-22 19:26:45 UTC","2025-10-22 19:27:02 UTC",NA,NA,"end_normal"
"2baf164432888f0198fafc8f900320b4","2025-10-22 20:46:17 UTC","2025-10-22 20:48:38 UTC","3647975432","452","Chrome v141, Windows","128.164.171.30","yes","yes","kind_of","red","option_2","option_3","option_1","option_1","option_3","option_1","2000","male",NA,"2025-10-22 20:46:24 UTC","2025-10-22 20:46:25 UTC","2025-10-22 20:46:27 UTC","2025-10-22 20:46:32 UTC","2025-10-22 20:47:05 UTC","2025-10-22 20:47:41 UTC","2025-10-22 20:47:48 UTC","2025-10-22 20:47:54 UTC","2025-10-22 20:47:58 UTC","2025-10-22 20:48:04 UTC","2025-10-22 20:48:12 UTC","2025-10-22 20:48:13 UTC","2025-10-22 20:48:18 UTC","2025-10-22 20:46:17 UTC","2025-10-22 20:46:22 UTC","2025-10-22 20:46:25 UTC","2025-10-22 20:46:28 UTC","2025-10-22 20:46:33 UTC","2025-10-22 20:46:50 UTC","2025-10-22 20:46:51 UTC","2025-10-22 20:47:32 UTC","2025-10-22 20:47:42 UTC","2025-10-22 20:47:50 UTC","2025-10-22 20:47:55 UTC","2025-10-22 20:48:01 UTC","2025-10-22 20:48:06 UTC","2025-10-22 20:48:20 UTC",NA,NA,"end_normal"
