profileID,respID,qID,altID,obsID,type,price,compatability,capacity,range,image
316,1,1,1,1,Card,25,Both,5,5,Card.jpg
277,1,1,2,1,Implant,25,Both,3,5,Implant.jpg
322,1,1,3,1,Ring,100,Both,5,5,Ring.jpg
154,1,2,1,2,Ring,100,iOS,3,3,Ring.jpg
68,1,2,2,2,Card,50,Both,3,1,Card.jpg
146,1,2,3,2,Ring,25,iOS,3,3,Ring.jpg
142,1,3,1,3,Ring,100,Both,1,3,Ring.jpg
263,1,3,2,3,Bracelet,100,iOS,3,5,Bracelet.jpg
3,1,3,3,3,Bracelet,25,iOS,1,1,Bracelet.jpg
182,1,4,1,4,Ring,25,iOS,5,3,Ring.jpg
216,1,4,2,4,Card,100,Both,5,3,Card.jpg
191,1,4,3,4,Bracelet,100,iOS,5,3,Bracelet.jpg
169,1,5,1,5,Implant,25,Both,3,3,Implant.jpg
266,1,5,2,5,Ring,25,Android,3,5,Ring.jpg
310,1,5,3,5,Ring,100,Android,5,5,Ring.jpg
124,1,6,1,6,Card,25,Android,1,3,Card.jpg
251,1,6,2,6,Bracelet,100,Both,1,5,Bracelet.jpg
71,1,6,3,6,Bracelet,100,Both,3,1,Bracelet.jpg
245,2,1,1,7,Implant,50,Both,1,5,Implant.jpg
214,2,1,2,7,Ring,100,Both,5,3,Ring.jpg
19,2,1,3,7,Bracelet,50,Android,1,1,Bracelet.jpg
262,2,2,1,8,Ring,100,iOS,3,5,Ring.jpg
310,2,2,2,8,Ring,100,Android,5,5,Ring.jpg
232,2,2,3,8,Card,25,Android,1,5,Card.jpg
234,2,3,1,9,Ring,50,Android,1,5,Ring.jpg
158,2,3,2,9,Ring,25,Android,3,3,Ring.jpg
133,2,3,3,9,Implant,25,Both,1,3,Implant.jpg
263,2,4,1,10,Bracelet,100,iOS,3,5,Bracelet.jpg
62,2,4,2,10,Ring,25,Both,3,1,Ring.jpg
15,2,4,3,10,Bracelet,25,Android,1,1,Bracelet.jpg
120,2,5,1,11,Card,100,iOS,1,3,Card.jpg
102,2,5,2,11,Ring,50,Both,5,1,Ring.jpg
176,2,5,3,11,Card,50,Both,3,3,Card.jpg
160,2,6,1,12,Card,25,Android,3,3,Card.jpg
20,2,6,2,12,Card,50,Android,1,1,Card.jpg
217,2,6,3,12,Implant,25,iOS,1,5,Implant.jpg
91,3,1,1,13,Bracelet,50,Android,5,1,Bracelet.jpg
233,3,1,2,13,Implant,50,Android,1,5,Implant.jpg
61,3,1,3,13,Implant,25,Both,3,1,Implant.jpg
129,3,2,1,14,Implant,100,Android,1,3,Implant.jpg
262,3,2,2,14,Ring,100,iOS,3,5,Ring.jpg
49,3,2,3,14,Implant,25,Android,3,1,Implant.jpg
140,3,3,1,15,Card,50,Both,1,3,Card.jpg
