profileID,respID,qID,altID,obsID,price,capacity,range,type,compatability
9,1,1,1,1,100,1,0.1,Implantable,iOS
261,1,1,2,1,100,3,1,Implantable,iOS
257,1,1,3,1,50,3,1,Implantable,iOS
106,1,2,1,2,100,5,0.1,Ring,iOS/Android
47,1,2,2,2,100,3,0.1,Bracelet,iOS
50,1,2,3,2,25,3,0.1,Ring,Android
135,1,3,1,3,25,1,0.5,Bracelet,iOS/Android
229,1,3,2,3,25,1,1,Implantable,Android
233,1,3,3,3,50,1,1,Implantable,Android
66,1,4,1,4,50,3,0.1,Ring,iOS/Android
68,1,4,2,4,50,3,0.1,Card,iOS/Android
317,1,4,3,4,50,5,1,Implantable,iOS/Android
294,1,5,1,5,50,5,1,Ring,iOS
306,1,5,2,5,50,5,1,Ring,Android
49,1,5,3,5,25,3,0.1,Implantable,Android
64,1,6,1,6,25,3,0.1,Card,iOS/Android
315,1,6,2,6,25,5,1,Bracelet,iOS/Android
45,1,6,3,6,100,3,0.1,Implantable,iOS
321,2,1,1,7,100,5,1,Implantable,iOS/Android
93,2,1,2,7,100,5,0.1,Implantable,Android
238,2,1,3,7,100,1,1,Ring,Android
15,2,2,1,8,25,1,0.1,Bracelet,Android
140,2,2,2,8,50,1,0.5,Card,iOS/Android
171,2,2,3,8,25,3,0.5,Bracelet,iOS/Android
235,2,3,1,9,50,1,1,Bracelet,Android
148,2,3,2,9,25,3,0.5,Card,iOS
237,2,3,3,9,100,1,1,Implantable,Android
267,2,4,1,10,25,3,1,Bracelet,Android
95,2,4,2,10,100,5,0.1,Bracelet,Android
70,2,4,3,10,100,3,0.1,Ring,iOS/Android
256,2,5,1,11,25,3,1,Card,iOS
178,2,5,2,11,100,3,0.5,Ring,iOS/Android
259,2,5,3,11,50,3,1,Bracelet,iOS
107,2,6,1,12,100,5,0.1,Bracelet,iOS/Android
133,2,6,2,12,25,1,0.5,Implantable,iOS/Android
138,2,6,3,12,50,1,0.5,Ring,iOS/Android
82,3,1,1,13,100,5,0.1,Ring,iOS
272,3,1,2,13,50,3,1,Card,Android
62,3,1,3,13,25,3,0.1,Ring,iOS/Android
47,3,2,1,14,100,3,0.1,Bracelet,iOS
55,3,2,2,14,50,3,0.1,Bracelet,Android
156,3,2,3,14,100,3,0.5,Card,iOS
234,3,3,1,15,50,1,1,Ring,Android
320,3,3,2,15,50,5,1,Card,iOS/Android
64,3,3,3,15,25,3,0.1,Card,iOS/Android
274,3,4,1,16,100,3,1,Ring,Android
273,3,4,2,16,100,3,1,Implantable,Android
237,3,4,3,16,100,1,1,Implantable,Android
73,3,5,1,17,25,5,0.1,Implantable,iOS
31,3,5,2,17,50,1,0.1,Bracelet,iOS/Android
22,3,5,3,17,100,1,0.1,Ring,Android
222,3,6,1,18,50,1,1,Ring,iOS
16,3,6,2,18,25,1,0.1,Card,Android
110,3,6,3,18,25,1,0.5,Ring,iOS
222,4,1,1,19,50,1,1,Ring,iOS
259,4,1,2,19,50,3,1,Bracelet,iOS
124,4,1,3,19,25,1,0.5,Card,Android
40,4,2,1,20,25,3,0.1,Card,iOS
179,4,2,2,20,100,3,0.5,Bracelet,iOS/Android
58,4,2,3,20,100,3,0.1,Ring,Android
158,4,3,1,21,25,3,0.5,Ring,Android
19,4,3,2,21,50,1,0.1,Bracelet,Android
150,4,3,3,21,50,3,0.5,Ring,iOS
148,4,4,1,22,25,3,0.5,Card,iOS
173,4,4,2,22,50,3,0.5,Implantable,iOS/Android
64,4,4,3,22,25,3,0.1,Card,iOS/Android
30,4,5,1,23,50,1,0.1,Ring,iOS/Android
166,4,5,2,23,100,3,0.5,Ring,Android
202,4,5,3,23,100,5,0.5,Ring,Android
201,4,6,1,24,100,5,0.5,Implantable,Android
96,4,6,2,24,100,5,0.1,Card,Android
28,4,6,3,24,25,1,0.1,Card,iOS/Android
228,5,1,1,25,100,1,1,Card,iOS
248,5,1,2,25,50,1,1,Card,iOS/Android
253,5,1,3,25,25,3,1,Implantable,iOS
298,5,2,1,26,100,5,1,Ring,iOS
122,5,2,2,26,25,1,0.5,Ring,Android
317,5,2,3,26,50,5,1,Implantable,iOS/Android
239,5,3,1,27,100,1,1,Bracelet,Android
32,5,3,2,27,50,1,0.1,Card,iOS/Android
48,5,3,3,27,100,3,0.1,Card,iOS
268,5,4,1,28,25,3,1,Card,Android
199,5,4,2,28,50,5,0.5,Bracelet,Android
38,5,4,3,28,25,3,0.1,Ring,iOS
18,5,5,1,29,50,1,0.1,Ring,Android
181,5,5,2,29,25,5,0.5,Implantable,iOS
69,5,5,3,29,100,3,0.1,Implantable,iOS/Android
38,5,6,1,30,25,3,0.1,Ring,iOS
193,5,6,2,30,25,5,0.5,Implantable,Android
40,5,6,3,30,25,3,0.1,Card,iOS
74,6,1,1,31,25,5,0.1,Ring,iOS
146,6,1,2,31,25,3,0.5,Ring,iOS
5,6,1,3,31,50,1,0.1,Implantable,iOS
106,6,2,1,32,100,5,0.1,Ring,iOS/Android
152,6,2,2,32,50,3,0.5,Card,iOS
182,6,2,3,32,25,5,0.5,Ring,iOS
96,6,3,1,33,100,5,0.1,Card,Android
261,6,3,2,33,100,3,1,Implantable,iOS
95,6,3,3,33,100,5,0.1,Bracelet,Android
239,6,4,1,34,100,1,1,Bracelet,Android
249,6,4,2,34,100,1,1,Implantable,iOS/Android
33,6,4,3,34,100,1,0.1,Implantable,iOS/Android
271,6,5,1,35,50,3,1,Bracelet,Android
294,6,5,2,35,50,5,1,Ring,iOS
83,6,5,3,35,100,5,0.1,Bracelet,iOS
119,6,6,1,36,100,1,0.5,Bracelet,iOS
10,6,6,2,36,100,1,0.1,Ring,iOS
315,6,6,3,36,25,5,1,Bracelet,iOS/Android
117,7,1,1,37,100,1,0.5,Implantable,iOS
4,7,1,2,37,25,1,0.1,Card,iOS
3,7,1,3,37,25,1,0.1,Bracelet,iOS
60,7,2,1,38,100,3,0.1,Card,Android
256,7,2,2,38,25,3,1,Card,iOS
299,7,2,3,38,100,5,1,Bracelet,iOS
298,7,3,1,39,100,5,1,Ring,iOS
314,7,3,2,39,25,5,1,Ring,iOS/Android
278,7,3,3,39,25,3,1,Ring,iOS/Android
119,7,4,1,40,100,1,0.5,Bracelet,iOS
200,7,4,2,40,50,5,0.5,Card,Android
37,7,4,3,40,25,3,0.1,Implantable,iOS
20,7,5,1,41,50,1,0.1,Card,Android
266,7,5,2,41,25,3,1,Ring,Android
92,7,5,3,41,50,5,0.1,Card,Android
150,7,6,1,42,50,3,0.5,Ring,iOS
117,7,6,2,42,100,1,0.5,Implantable,iOS
295,7,6,3,42,50,5,1,Bracelet,iOS
1,8,1,1,43,25,1,0.1,Implantable,iOS
23,8,1,2,43,100,1,0.1,Bracelet,Android
203,8,1,3,43,100,5,0.5,Bracelet,Android
52,8,2,1,44,25,3,0.1,Card,Android
160,8,2,2,44,25,3,0.5,Card,Android
76,8,2,3,44,25,5,0.1,Card,iOS
57,8,3,1,45,100,3,0.1,Implantable,Android
299,8,3,2,45,100,5,1,Bracelet,iOS
290,8,3,3,45,25,5,1,Ring,iOS
80,8,4,1,46,50,5,0.1,Card,iOS
11,8,4,2,46,100,1,0.1,Bracelet,iOS
34,8,4,3,46,100,1,0.1,Ring,iOS/Android
145,8,5,1,47,25,3,0.5,Implantable,iOS
246,8,5,2,47,50,1,1,Ring,iOS/Android
29,8,5,3,47,50,1,0.1,Implantable,iOS/Android
209,8,6,1,48,50,5,0.5,Implantable,iOS/Android
58,8,6,2,48,100,3,0.1,Ring,Android
42,8,6,3,48,50,3,0.1,Ring,iOS
244,9,1,1,49,25,1,1,Card,iOS/Android
3,9,1,2,49,25,1,0.1,Bracelet,iOS
218,9,1,3,49,25,1,1,Ring,iOS
14,9,2,1,50,25,1,0.1,Ring,Android
90,9,2,2,50,50,5,0.1,Ring,Android
219,9,2,3,50,25,1,1,Bracelet,iOS
173,9,3,1,51,50,3,0.5,Implantable,iOS/Android
104,9,3,2,51,50,5,0.1,Card,iOS/Android
266,9,3,3,51,25,3,1,Ring,Android
143,9,4,1,52,100,1,0.5,Bracelet,iOS/Android
162,9,4,2,52,50,3,0.5,Ring,Android
211,9,4,3,52,50,5,0.5,Bracelet,iOS/Android
133,9,5,1,53,25,1,0.5,Implantable,iOS/Android
283,9,5,2,53,50,3,1,Bracelet,iOS/Android
305,9,5,3,53,50,5,1,Implantable,Android
105,9,6,1,54,100,5,0.1,Implantable,iOS/Android
291,9,6,2,54,25,5,1,Bracelet,iOS
83,9,6,3,54,100,5,0.1,Bracelet,iOS
70,10,1,1,55,100,3,0.1,Ring,iOS/Android
38,10,1,2,55,25,3,0.1,Ring,iOS
20,10,1,3,55,50,1,0.1,Card,Android
66,10,2,1,56,50,3,0.1,Ring,iOS/Android
267,10,2,2,56,25,3,1,Bracelet,Android
75,10,2,3,56,25,5,0.1,Bracelet,iOS
100,10,3,1,57,25,5,0.1,Card,iOS/Android
256,10,3,2,57,25,3,1,Card,iOS
322,10,3,3,57,100,5,1,Ring,iOS/Android
135,10,4,1,58,25,1,0.5,Bracelet,iOS/Android
221,10,4,2,58,50,1,1,Implantable,iOS
14,10,4,3,58,25,1,0.1,Ring,Android
189,10,5,1,59,100,5,0.5,Implantable,iOS
312,10,5,2,59,100,5,1,Card,Android
7,10,5,3,59,50,1,0.1,Bracelet,iOS
110,10,6,1,60,25,1,0.5,Ring,iOS
13,10,6,2,60,25,1,0.1,Implantable,Android
274,10,6,3,60,100,3,1,Ring,Android
